סוג,שם,זמן הכנה (דק'),מספיק ל- (ימים),פעיל,הערה / לבדיקה
מנה מלאה,"פרגית בתנור בדבש וחרדל עם תפו""א, בטטה, בצל וגזר",70,2,כן,כפילות חלקית עם הפרגיות בסויה וסילאן
מנה מלאה,פרגיות בתנור בסויה וסילאן עם בצל ובטטה,70,2,כן,כפילות חלקית עם הפרגית בדבש וחרדל
מנה מלאה,עוף בטריאקי עם ברוקולי ואורז,40,2,כן,
מנה מלאה,עוף בתנור עם אורז וגזר,70,2,כן,כלל אורז צהוב כווריאציה
מנה מלאה,עוף עם פטריות,45,2,כן,
מנה מלאה,עוף בקארי עם פטריות ואורז,45,2,כן,
מנה מלאה,עוף בקוביות מתובל עם ברוקולי מוקפץ ואורז לבן,40,2,כן,
מנה מלאה,תבשיל עוף עם זיתים ואורז לבן,60,2,כן,
מנה מלאה,שוקיים עם אפונה ברוטב אדום ואורז עם אטריות,70,2,כן,
מנה מלאה,Marry me chicken,45,2,כן,
מנה מלאה,Chicken fajita bowl — עוף ואורז מתובלים עם סלט ואבוקדו,40,2,כן,קרוב ל-Fajitas
מנה מלאה,Fajitas,35,1,כן,קרוב ל-Chicken fajita bowl
מנה מלאה,מרק עוף,90,3,כן,
מנה מלאה,נגטס,25,1,כן,ארוחה קלה
מנה מלאה,בשר עם פטריות וערמונים,60,2,כן,
מנה מלאה,"בשר עם תפו""א ובטטה בתנור",75,2,כן,
מנה מלאה,אסאדו רך,180,3,כן,
מנה מלאה,קציצות בשר ברוטב אדום,50,2,כן,הפחמימה (קוסקוס/אורז) נבחרת בהרכבה
מנה מלאה,קובה במיה,60,2,כן,
מנה מלאה,קובה סלק,60,2,כן,
מנה מלאה,קובה קישואים,60,2,כן,
מנה מלאה,ממולאים,75,3,כן,
מנה מלאה,כרוב ממולא,90,3,כן,
מנה מלאה,קישוא ממולא,80,3,כן,
מנה מלאה,מוסקה — חציל ממולא בבשר,80,3,כן,
מנה מלאה,מפרום — תפוח אדמה ממולא בבשר,90,2,כן,אוחד עם 'מפרום עם קוסקוס'
מנה מלאה,לזניה,75,3,כן,
מנה מלאה,בורקס בשר עם צנוברים ורוטב פטריות,50,2,כן,
מנה מלאה,לחמניות בשר,50,2,כן,
מנה מלאה,קבבים,40,1,כן,
מנה מלאה,המבורגרים,30,1,כן,
מנה מלאה,Burger bowl,30,1,כן,
מנה מלאה,סטרוגנוף,50,2,כן,
מנה מלאה,קוביות בשר מקורמל,50,2,כן,קרוב ל'אורז לבן עם קוביות בשר ושעועית'
מנה מלאה,אורז לבן עם קוביות בשר ושעועית ברוטב אדום,60,2,כן,קרוב ל'קוביות בשר מקורמל'
מנה מלאה,"אטריות מוקפצות עם פטריות, רצועות בשר וקשיו",35,1,כן,
מנה מלאה,טאקוס,35,1,כן,
מנה מלאה,עראיס בשר,30,1,כן,
מנה מלאה,טבחה שעועית,60,2,כן,
מנה מלאה,בטטה חצויה בתנור עם בשר טחון וסלט קוטג',50,2,כן,גם בגרסת חזה עוף
מנה מלאה,"טורטיות עם מאסה, עגבנייה ואבוקדו",30,1,כן,החלבון (שניצל/עוף/בשר) נבחר בהרכבה
מנה מלאה,שניצל,30,1,כן,
מנה מלאה,Milanesa napolitana,40,1,כן,
מנה מלאה,פתיתים ברוטב אדום עם שניצלים,35,2,כן,
מנה מלאה,אורז צהוב עם שניצל ושעועית ברוטב אדום,50,2,כן,
מנה מלאה,סלמון בטריאקי עם אורז,35,1,כן,
מנה מלאה,"קערת אורז, סלמון ואבוקדו",25,1,כן,
מנה מלאה,סלמון עם פטריות בשמנת,30,1,כן,
מנה מלאה,חריימה — דג מרוקאי,40,1,כן,
מנה מלאה,Sushi bake עם טונה וסלמון,45,1,כן,
מנה מלאה,עראיס טונה,25,1,כן,
מנה מלאה,פסטה ברוטב פטריות,25,1,כן,
מנה מלאה,פסטה ברוטב ערמונים,30,1,כן,
מנה מלאה,פסטה רוזה עם עגבניות שרי,25,1,כן,
מנה מלאה,פסטה בשמנת ופסטו,25,1,כן,
מנה מלאה,פסטה בשמנת וסלמון,30,1,כן,
מנה מלאה,פסטה בולונז,60,2,כן,
מנה מלאה,פסטה ברוטב אדום עם נקניקיות,30,2,כן,
מנה מלאה,"מוקפץ עם ברוקולי, בוק צ'וי ואטריות אורז",30,1,כן,
מנה מלאה,פולנטה עם פטריות,35,1,כן,
מנה מלאה,פשטידת קישואים (Tarta de zucchini),60,2,כן,
מנה מלאה,פשטידת בצל (Tarta de cebolla),60,2,כן,
מנה מלאה,פשטידת עוף בגבינת שמנת עם סלט (Tarta de pollo),60,2,כן,
מנה מלאה,קציצות ירקות — ערוק,40,2,כן,
מנה מלאה,מרק עגבניות,45,3,כן,
מנה מלאה,מרק פטריות,40,3,כן,
מנה מלאה,מרק בטטה,40,3,כן,
מנה מלאה,קוסקוס עם מרק ירקות,60,3,כן,
מנה מלאה,קוסקוס ברוטב אדום,50,2,כן,
מנה מלאה,ג'חנון,30,1,כן,מנת שבת — שווה לקבע ליום קבוע
מנה מלאה,חמין,40,2,כן,מנת שבת — שווה לקבע ליום קבוע
מנה מלאה,צ'יפס עם רוטב שמנת פטריות,30,1,כן,ארוחה קלה
מנה מלאה,צ'יפס עם צ'דר,25,1,כן,ארוחה קלה
מנה מלאה,"טוסט גבינת עזים, ריבת בצל ורוקט",15,1,כן,ארוחה קלה
חלבון,חזה עוף,25,,כן,
חלבון,פרגיות,45,,כן,
חלבון,שניצל,30,,כן,
חלבון,בשר טחון,25,,כן,
חלבון,קוביות בשר,45,,כן,
חלבון,סלמון,20,,כן,
חלבון,קבב,30,,כן,
חלבון,נקניקיות,15,,כן,
חלבון,טונה,5,,כן,
